title,normalized_title,portal_collections,search_collections,is_overlap
appeal review of current law and law reform,appeal review of current law and law reform,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
20092humangrizzlymarch2012pdf,20092humangrizzlymarch2012pdf,Nechako Archives,,False
Reconciliation: First Nations Treaty Making in British Columbia,reconciliation first nations treaty making in british columbia,Books; Nechako Archives,,False
"Georges Vanier: Soldier – The Wartime Letters and Diaries, 1915–1919 ed. by Deborah Cowley, and: The War Diary of Clare Gass, 1915–1918 ed. by Susan Mann (review)",georges vanier soldier the wartime letters and diaries 19151919 ed by deborah cowley and the war diary of clare gass 19151918 ed by susan mann review,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
metals_babine_tissuepdf,metals_babine_tissuepdf,Nechako Archives,,False
"Polymorphic population of Oncorhynchus nerka at Babine Lake, B.C. involving anadromous (sockeye) and non-anadromous (kokanee) forms",polymorphic population of oncorhynchus nerka at babine lake bc involving anadromous sockeye and nonanadromous kokanee forms,Nechako Archives,,False
sm55pdf,sm55pdf,Nechako Archives,,False
proceedings of the fifth,proceedings of the fifth,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
"Geology of the Pinchi Lake area, central British Columbia",geology of the pinchi lake area central british columbia,Nechako Archives,,False
Countergradient variation in carotenoid use between sympatric morphs of sockeye salmon (Oncorhynchus nerka) exposes nonanadromous hybrids in the wild by their mismatched spawning colour,countergradient variation in carotenoid use between sympatric morphs of sockeye salmon oncorhynchus nerka exposes nonanadromous hybrids in the wild by their mismatched spawning colour,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,True
maar shawande_2010_traditional medicine,maar shawande_2010_traditional medicine,Nechako Archives,,False
Third-Person Object Prefixes in Babine-Witsuwit'en,thirdperson object prefixes in babinewitsuwiten,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,True
Influence of Stock Origin on Salmon Migratory Behavior - Springer,influence of stock origin on salmon migratory behavior springer,Nechako Archives,,False
"Witsuwit'en Grammar: Phonetics, Phonology, Morphology",witsuwiten grammar phonetics phonology morphology,Books; Nechako Archives,Journal Articles,True
oecologia,oecologia,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
Ice flow and late glacial lakes of the Fraser Glaciation,ice flow and late glacial lakes of the fraser glaciation,Nechako Archives,,False
Kill the lake? kill the proposal: accommodating First Nations’ environmental values as a first step on the road to wellness,kill the lake kill the proposal accommodating first nations environmental values as a first step on the road to wellness,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,True
a law of bloodties the right to access genetic ancestry,a law of bloodties the right to access genetic ancestry,Books; Nechako Archives,,False
sherry fondahl_2003_criteria for comanagement,sherry fondahl_2003_criteria for comanagement,Nechako Archives,,False
bhandar_2007_recoving the limits of recognition,bhandar_2007_recoving the limits of recognition,Nechako Archives,,False
canadian journal of family law,canadian journal of family law,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
Recovering Canada: The Resurgence of Indigenous Law,recovering canada the resurgence of indigenous law,Books; Nechako Archives,,False
bc studies the british columbian quarterly,bc studies the british columbian quarterly,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
Crown-Aboriginal Relations in Resource Development: An Analysis of Institutional Incentives and Constraints in the Reconciliation of Aboriginal Interests,crownaboriginal relations in resource development an analysis of institutional incentives and constraints in the reconciliation of aboriginal interests,Nechako Archives,,False
microsoft word uncha mountain red hills report finaldoc uncha_mountain_red_hills_report_v6_1203657303787_8e248a68ce65662b032f42d47b19aa6c483688a948dpdf,microsoft word uncha mountain red hills report finaldoc uncha_mountain_red_hills_report_v6_1203657303787_8e248a68ce65662b032f42d47b19aa6c483688a948dpdf,Nechako Archives,,False
"Indian reserves allotted for fishing purposes in British Columbia, 1849-1925",indian reserves allotted for fishing purposes in british columbia 18491925,Nechako Archives,,False
Why Did It Take So Long for Indian Residential School Claims to Come to Court? The Excruciatingly Gradual Civilization of Canada's Legal System.,why did it take so long for indian residential school claims to come to court the excruciatingly gradual civilization of canadas legal system,Nechako Archives,,False
ethnohistory,ethnohistory,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
alberta law review,alberta law review,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
Carrier settlement and subsistence in the Chinlac/Cluculz Lake area of Central British Columbia,carrier settlement and subsistence in the chinlaccluculz lake area of central british columbia,Nechako Archives,,False
journal of hydrometeorology,journal of hydrometeorology,IWRG paper,Journal Articles; Subsearch AH,False
"""Killing the Indian in the Child"": Death, Cruelty, and Subject-formation in the Canadian Indian Residential School System",killing the indian in the child death cruelty and subjectformation in the canadian indian residential school system,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,True
scientific reports,scientific reports,IWRG paper,,False
Preventative Education for Indigenous Girls Vulnerable to the Sex Trade,preventative education for indigenous girls vulnerable to the sex trade,Nechako Archives,,False
aboriginaltelehealthliteraturereviewpdf,aboriginaltelehealthliteraturereviewpdf,Nechako Archives,,False
le billon_vandecasteyen_2016_tar sands and north coast,le billon_vandecasteyen_2016_tar sands and north coast,Nechako Archives,,False
Mental Health and Healing with the Carrier First Nation: Views of Seven Traditional Healers and Knowledge Holders,mental health and healing with the carrier first nation views of seven traditional healers and knowledge holders,Nechako Archives,,False
Accounting for Indigenous Rights and Environmental Protection versus Economic Insatiability,accounting for indigenous rights and environmental protection versus economic insatiability,Nechako Archives,,False
white_2015_female book of judgespdf,white_2015_female book of judgespdf,Nechako Archives,,False
booth_2001_fraser lakenadleh bun bcfraserlakepdf,booth_2001_fraser lakenadleh bun bcfraserlakepdf,Nechako Archives,,False
The Name Quest: Explore the Names of God to Grow in Faith and Get to Know Him Better,the name quest explore the names of god to grow in faith and get to know him better,Books; Nechako Archives,,False
canadian journal of community mental health,canadian journal of community mental health,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
Indigenous Legal Traditions and the Future of Environmental Governance in Canada,indigenous legal traditions and the future of environmental governance in canada,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
The Mountain Pine Beetle Chronicles: A Bioregional Literary Study of the Anomalous Mountain Pine Beetle and the Lodgepole Pine Forests in the Northern Interior of British Columbia,the mountain pine beetle chronicles a bioregional literary study of the anomalous mountain pine beetle and the lodgepole pine forests in the northern interior of british columbia,Nechako Archives,,False
"""Working a great hardship on us"" : First Nations people, the state and fur conservation in British Columbia before 1935",working a great hardship on us first nations people the state and fur conservation in british columbia before 1935,Nechako Archives,,False
British Columbia's Community Forest Pilot Projects: Can a Localized Trend Survive in an Increasingly Globalized Forest Sector?,british columbias community forest pilot projects can a localized trend survive in an increasingly globalized forest sector,Nechako Archives,,False
fs30_webproofpdf,fs30_webproofpdf,Nechako Archives,,False
area_based_forest_tenure_engagement_report_june_2014pdf,area_based_forest_tenure_engagement_report_june_2014pdf,Nechako Archives,,False
What's Love Got To Do With It? Illuminations on Loving Attachment in Planning,whats love got to do with it illuminations on loving attachment in planning,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
Ts’ee’in Lhekh ‘It ts’idit’ah : Working Together in a Good Way : Collaborative Indigenous Community Planning with Lake Babine Nation - UBC Library Open Collections,tseein lhekh it tsiditah working together in a good way collaborative indigenous community planning with lake babine nation ubc library open collections,Nechako Archives,,False
Cis Dideen Kat (When the Plumes Rise): The Way of the Lake Babine Nation,cis dideen kat when the plumes rise the way of the lake babine nation,Books; Nechako Archives,,False
the forestry chronicle,the forestry chronicle,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
Connections: Exploring Contemporary Planning Theory and Practice with Patsy Healey,connections exploring contemporary planning theory and practice with patsy healey,Books; Nechako Archives,,False
"Conservation, territory, and traditional beliefs: An analysis of gitksan and wet'suwet'en subsistence, Northwest British Columbia, Canada",conservation territory and traditional beliefs an analysis of gitksan and wetsuweten subsistence northwest british columbia canada,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
mr87553pdf,mr87553pdf,Nechako Archives,,False
Sustainable Colonization: Tar Sands as Resource Colonialism,sustainable colonization tar sands as resource colonialism,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
journal of aboriginal health victoria,journal of aboriginal health victoria,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
journal of environmental law and practice scarborough,journal of environmental law and practice scarborough,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
Getting out of the way: on the road to aboriginal self-government,getting out of the way on the road to aboriginal selfgovernment,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
ethical waters: reflections on the Healing Walk in the Tar Sands - ProQuest,ethical waters reflections on the healing walk in the tar sands proquest,Nechako Archives,,False
british columbia_dec_17_2013pdf,british columbia_dec_17_2013pdf,Nechako Archives,,False
"""A Tribute to Mary John and to the Synergy of Bridget Moran and Mary John"" by Mills, Antonia - The Canadian Journal of Native Studies, Vol. 25, Issue 2, July 1, 2005 | Online Research Library: Questia",a tribute to mary john and to the synergy of bridget moran and mary john by mills antonia the canadian journal of native studies vol 25 issue 2 july 1 2005 online research library questia,Nechako Archives,,False
college composition and communication,college composition and communication,Books; Nechako Archives,,False
d r a f t download,d r a f t download,Nechako Archives,,False
"Integrating sustainability concepts and First Nations values in an urban neighbourhood: a case study of Carney Hill neighbourhood, Prince George, British Columbia",integrating sustainability concepts and first nations values in an urban neighbourhood a case study of carney hill neighbourhood prince george british columbia,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,True
Research as Cultural Renewal: Applying Two-Eyed Seeing in a Research Project about Cultural Interventions in First Nations Addictions Treatment,research as cultural renewal applying twoeyed seeing in a research project about cultural interventions in first nations addictions treatment,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
world geomorphological landscapes,world geomorphological landscapes,Books; Nechako Archives,,False
Recent Judicial Decisions of Interest to Energy Lawyers,recent judicial decisions of interest to energy lawyers,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
lecture notes in computer science,lecture notes in computer science,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
library management,library management,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
geohumanities,geohumanities,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
New hatchery for endangered white sturgeon opens on Nechako River - The Globe and Mail,new hatchery for endangered white sturgeon opens on nechako river the globe and mail,Nechako Archives,,False
journal of applied ichthyology,journal of applied ichthyology,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,Journal Articles,False
Habitat partitioning in riverine macrophyte communities,habitat partitioning in riverine macrophyte communities,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
harvard human rights journal,harvard human rights journal,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
ubc law review,ubc law review,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
The Importance of Story-Telling: Research Protocols in Aboriginal Communities,the importance of storytelling research protocols in aboriginal communities,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,True
"Analysis of HLA Class I and Class II in Na-Dene and Amerindian Populations from British Columbia, Canada",analysis of hla class i and class ii in nadene and amerindian populations from british columbia canada,Subsurface papers,Journal Articles,True
schneiderseaman_1987_mryio borealis,schneiderseaman_1987_mryio borealis,Nechako Archives,,False
bc_1995_drift exploration in the cnd cordillera,bc_1995_drift exploration in the cnd cordillera,Nechako Archives,,False
canfor_ 2006_vanderhoof dfa_sfmp_pdf,canfor_ 2006_vanderhoof dfa_sfmp_pdf,Nechako Archives,,False
SAI’KUZ FIRST NATION,saikuz first nation,Nechako Archives,,False
canadian journal of soil science,canadian journal of soil science,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
proceedings of the 77th annual western snow conference canmore ab,proceedings of the 77th annual western snow conference canmore ab,Nechako Archives,,False
the canadian veterinary journal,the canadian veterinary journal,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
Carrier herbal medicine: an evaluation of the antimicrobial and anticancer activity in some frequently used remedies,carrier herbal medicine an evaluation of the antimicrobial and anticancer activity in some frequently used remedies,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,True
"Nechako NATMAP Project overview, central British Columbia, year three",nechako natmap project overview central british columbia year three,Nechako Archives,,False
"Carboniferous-Triassic conodont biostratigraphy, Nechako NATMAP project area",carboniferoustriassic conodont biostratigraphy nechako natmap project area,Nechako Archives,,False
geological fieldwork,geological fieldwork,Subsurface papers,Journal Articles,False
interior plateau geoscience project summary of geological geochemical studies newell jm and diakow lj editors bc ministry of employment and investment paper,interior plateau geoscience project summary of geological geochemical studies newell jm and diakow lj editors bc ministry of employment and investment paper,Subsurface papers,Journal Articles,False
"Mineral exploration of the Nechako plateau, Central British Columbia, using lake sediment geochemistry",mineral exploration of the nechako plateau central british columbia using lake sediment geochemistry,Books,,False
"Stratigraphy, maturation and source rock potential of cretaceous strata in the Chilcotin-Nechako region of British Columbia",stratigraphy maturation and source rock potential of cretaceous strata in the chilcotinnechako region of british columbia,Nechako Archives,,False
Locally defined measures of successful forest co-management: A case study of Tl'azt'en Nation and the John Prince Research Forest.,locally defined measures of successful forest comanagement a case study of tlazten nation and the john prince research forest,Nechako Archives,,False
"""How do you measure the loss of a lake?"": Assessing community relevance of health impact assessment frameworks to the Tl'azt'en nation of northern-interior British Columbia",how do you measure the loss of a lake assessing community relevance of health impact assessment frameworks to the tlazten nation of northerninterior british columbia,Nechako Archives,,False
Relationship of tree growth to climate in the Nechako region of central interior British Columbia,relationship of tree growth to climate in the nechako region of central interior british columbia,Nechako Archives,,False
Come hell and high water : the relocation of the Cheslatta First Nation,come hell and high water the relocation of the cheslatta first nation,Nechako Archives,,False
"Soo Ts'yawh 'Ilho Zah Ts'inli ""We Are All One"" Tl'azt'en Nation's Ancestral History of Yeko.",soo tsyawh ilho zah tsinli we are all one tlazten nations ancestral history of yeko,Nechako Archives,,False
Connections between land and wellbeing: Perspectives of First Nations youth in the community of Saik'uz.,connections between land and wellbeing perspectives of first nations youth in the community of saikuz,Nechako Archives,Other non-journal sources,True
marketwire,marketwire,Nechako Archives,,False
NECHAKO RIVER FRY EMERGENCE PROJECT 2010,nechako river fry emergence project 2010,Nechako Archives,,False
bcalcan_1997_agreementpdf,bcalcan_1997_agreementpdf,Nechako Archives,,False
andersonetal_2000_tertiarygeologypdf,andersonetal_2000_tertiarygeologypdf,Nechako Archives,,False
nfcp_2015_trends in nechako chinook,nfcp_2015_trends in nechako chinook,Nechako Archives,,False
dfo_2014_sara sturgeon recoverypdf,dfo_2014_sara sturgeon recoverypdf,Nechako Archives,,False
marshall_1998_nechako cmts,marshall_1998_nechako cmts,Nechako Archives,,False
connell_2015_agr planning bnpdf,connell_2015_agr planning bnpdf,Nechako Archives,,False
alternatives journal,alternatives journal,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
"Three-Dimensional Thickness Model for the Eocene Volcanic Sequence, Chilcotin and Nechako Plateaus, Central British Columbia",threedimensional thickness model for the eocene volcanic sequence chilcotin and nechako plateaus central british columbia,Subsurface papers; Nechako Archives,Journal Articles,True
journal of environmental law and practice,journal of environmental law and practice,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
How's life in the city?: life satisfaction across census metropolitan areas and economic regions in Canada,hows life in the city life satisfaction across census metropolitan areas and economic regions in canada,Nechako Archives,,False
Hydrological response to dynamical downscaling of climate model outputs: A case study for western and eastern snowmelt-dominated Canada catchments,hydrological response to dynamical downscaling of climate model outputs a case study for western and eastern snowmeltdominated canada catchments,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,Journal Articles,True
journal of political ecology,journal of political ecology,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,Journal Articles,False
journal of geochemical exploration,journal of geochemical exploration,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
Settlement Problems in British Columbia,settlement problems in british columbia,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
Interbasin water diversions: A Canadian perspective,interbasin water diversions a canadian perspective,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
bcss_1988_soils of the nazko areapdf,bcss_1988_soils of the nazko areapdf,Nechako Archives,,False
regulated rivers research management,regulated rivers research management,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
annals of the association of american geographers,annals of the association of american geographers,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,Journal Articles,False
british columbia historical quarterly,british columbia historical quarterly,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
environmental management,environmental management,"Sample 1 (Jan 10th, 2022); MP-JD Saturation Search (Journals only); Resources for Import (Jonathan)",Journal Articles,False
Gas supersaturation — Impact on the design and operation of aquatic systems,gas supersaturation impact on the design and operation of aquatic systems,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
Conflicts among recreational resource users-the case of non-Canadian participation in the regional sport fisheries of British Columbia and the Yukon,conflicts among recreational resource usersthe case of noncanadian participation in the regional sport fisheries of british columbia and the yukon,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,True
Geology of four plutons in central and northern Tetachuck Lake map area,geology of four plutons in central and northern tetachuck lake map area,Nechako Archives,,False
DISTRIBUTION OF SEVERAL TYPES OF OBSIDIAN FROM ARCHAEOLOGICAL SITES IN BRITISH COLUMBIA,distribution of several types of obsidian from archaeological sites in british columbia,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
"Condont biostratigraphy and correlation, Cache Creek Group, Fort St. James",condont biostratigraphy and correlation cache creek group fort st james,Nechako Archives,,False
Field observations of the Tachie Pluton near Fort St. James,field observations of the tachie pluton near fort st james,Nechako Archives,,False
cannings_1999_status of the longbilled curlew in british columbia download,cannings_1999_status of the longbilled curlew in british columbia download,Nechako Archives,,False
economic geography,economic geography,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
"Tectonic and stratigraphic relations between the Coast Plutonic Complex and Intermontane Belt, west-central Whitesail Lake map area, British Columbia",tectonic and stratigraphic relations between the coast plutonic complex and intermontane belt westcentral whitesail lake map area british columbia,Nechako Archives,,False
davis_1986_income employment multiplierspdf,davis_1986_income employment multiplierspdf,Nechako Archives,,False
Geology of the Taltapin Lake map area,geology of the taltapin lake map area,Nechako Archives,,False
ritcey_1995_status of the sharptailed grouse columbianus subspecies in british columbia download,ritcey_1995_status of the sharptailed grouse columbianus subspecies in british columbia download,Nechako Archives,,False
shortz_wilson_1992_ed on the frontier,shortz_wilson_1992_ed on the frontier,Nechako Archives,,False
The Cordilleran Ice Sheet and the Glacial Geomorphology of Southern and Central British Colombia,the cordilleran ice sheet and the glacial geomorphology of southern and central british colombia,Subsurface papers; Nechako Archives,,False
"Regionalization of water quality in the upper fraser river basin, British Columbia",regionalization of water quality in the upper fraser river basin british columbia,Subsurface papers; Nechako Archives,,True
Till Geochemical Dispersal in Central B.C.,till geochemical dispersal in central bc,Nechako Archives,,False
american indian culture and research journal,american indian culture and research journal,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
geojournal,geojournal,Portal Resources,Journal Articles,False
the journal of american folklore,the journal of american folklore,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
canadian journal of native education,canadian journal of native education,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,,False
An overview of the forage resource and beef production on Crown land in British Columbia,an overview of the forage resource and beef production on crown land in british columbia,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,Journal Articles,True
scientific agriculture,scientific agriculture,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
physical geography,physical geography,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
forest ecology and management,forest ecology and management,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
"Acid volcanism and its relationship to the tectonic history of the Cordillera of British Columbia, Canada",acid volcanism and its relationship to the tectonic history of the cordillera of british columbia canada,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,Journal Articles,True
"Comment [on “Paleomagnetism of the Upper Cretaceous strata of Mount Tatlow: Evidence for 3000 km of northward displacement of the eastern Coast Belt, British Columbia” by P. J. Wynne et al., and on “Paleomagnetism of the Spences Bridge Group and northward displacement of the Intermontane Belt, British Columbia: A second look” by E. Irving et al.]",comment on paleomagnetism of the upper cretaceous strata of mount tatlow evidence for 3000 km of northward displacement of the eastern coast belt british columbia by p j wynne et al and on paleomagnetism of the spences bridge group and northward displacement of the intermontane belt british columbia a second look by e irving et al,Subsurface papers,,False
american journal of science,american journal of science,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Subsurface papers; Nechako Lit Review Master List,,False
canadian journal of forest research,canadian journal of forest research,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
tectonics,tectonics,Subsurface papers,,False
Monitoring snow wetness in an Alpine Basin using combined C-band SAR and MODIS data,monitoring snow wetness in an alpine basin using combined cband sar and modis data,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,Journal Articles,True
"Geographies of Health, Disease and Well-being: Recent Advances in Theory and Method",geographies of health disease and wellbeing recent advances in theory and method,Books; Nechako Archives,,False
"Detailed lake sediment geochemistry of anomalous lakes on the nechako plateau, Central British Columbia — comparison of trace metal distributions in capoose and fish lakes",detailed lake sediment geochemistry of anomalous lakes on the nechako plateau central british columbia comparison of trace metal distributions in capoose and fish lakes,Nechako Archives,,False
Canada News Centre - Upper Fraser Fish Habitat Restoration Project,canada news centre upper fraser fish habitat restoration project,Nechako Archives,,False
Exploring Cumulative Effects and Impacts Through Examples - Springer,exploring cumulative effects and impacts through examples springer,Nechako Archives,,False
Community Forestry in Canada: Lessons from Policy and Practice,community forestry in canada lessons from policy and practice,Books; Nechako Archives,,False
"Climate change impacts on water resources in the Nechako River Basin, BC.",climate change impacts on water resources in the nechako river basin bc,Nechako Archives,,False
climate change resource development scenarios for the nechako watershed,climate change resource development scenarios for the nechako watershed,Nechako Archives,,False
Resource Library - NEEF,resource library neef,Nechako Archives,,False
Appreciative GIS and Strength-Based Community Change,appreciative gis and strengthbased community change,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List; Portal Resources,,False
national geographic education,national geographic education,Portal Resources,,False
wwfcanada blog,wwfcanada blog,Nechako Archives,,False
Rachelle van Zanten- Canoe Song (Official Video) HD,rachelle van zanten canoe song official video hd,Nechako Archives,,False
Atlas built on CouchDb,atlas built on couchdb,Portal Resources,,False
Citizen science and the power of public participation in marine spatial planning,citizen science and the power of public participation in marine spatial planning,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List; Portal Resources,,False
Map of Kemano,map of kemano,Portal Resources,,False
bc oil and gas commission,bc oil and gas commission,Portal Resources,,False
Tl'azt'en Nation - UNBC CURA,tlazten nation unbc cura,Nechako Archives,,False
Toward Holistic Evaluation and Assessment: Linking Ecosystems and Human Well-Being for the Three Gorges Dam,toward holistic evaluation and assessment linking ecosystems and human wellbeing for the three gorges dam,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List; Portal Resources,,False
Partnerships and governance at the environment–health nexus in Ontario: lessons from five case examples,partnerships and governance at the environmenthealth nexus in ontario lessons from five case examples,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List; Portal Resources,,False
journal of environmental planning and management,journal of environmental planning and management,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
Taylor & Francis Online,taylor francis online,Portal Resources,,False
A Web GIS collaborative framework to structure and manage distributed planning processes,a web gis collaborative framework to structure and manage distributed planning processes,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List; Portal Resources,,False
Bulkley-Nechako Regional Atlas,bulkleynechako regional atlas,Nechako Archives,,False
Cowichan Watershed Board | implementing the Cowichan Basin Water Management Plan,cowichan watershed board implementing the cowichan basin water management plan,Portal Resources,,False
Watersheds 2014 Readings and Research Package | Water Sustainability Project,watersheds 2014 readings and research package water sustainability project,Portal Resources,,False
A Blueprint for Watershed Governance in British Columbia | Water Sustainability Project,a blueprint for watershed governance in british columbia water sustainability project,Portal Resources,,False
cwnrce,cwnrce,Portal Resources,,False
fairness and competence in citizen participation,fairness and competence in citizen participation,Portal Resources,,False
ArtMap.ca,artmapca,Portal Resources,,False
