title,normalized_title,type,authors,journal,year,library
Road and Rail Side Vegetation Management Implications of Habitat Use by Moose Relative to Brush Cutting Season,road and rail side vegetation management implications of habitat use by moose relative to brush cutting season,Journal Article,"Rea, Roy V.; Child, Kenneth N.; Spata, David P.; MacDonald, Douglas",Environmental Management,2010,Portal
Exploring Climate Emotions in Canada’s Provincial North,exploring climate emotions in canadas provincial north,Journal Article,"Galway, Lindsay P.; Beery, Thomas",Frontiers in Psychology,2022,Portal
"Action learning partnerships: carbon, commerce and community co-learning at a Canadian university",action learning partnerships carbon commerce and community colearning at a canadian university,Journal Article,"Booth, Annie; Earley, Sinead; Aben, Kyle; Otter, Barbara; Corrigal, Todd; Ray, Christie",International Journal of Sustainability in Higher Education,2020,Portal
The Cedar Project: exploring determinants of psychological distress among young Indigenous people who use drugs in three Canadian cities,the cedar project exploring determinants of psychological distress among young indigenous people who use drugs in three canadian cities,Journal Article,"Pearce, M. E.; Jongbloed, K. A.; Pooyak, S. D.; Blair, A. H.; Christian, W. M.; Sharma, R.; Mazzuca, A.; Zamar, D. S.; Schechter, M. T.; Spittal, P. M.",Global Mental Health,2018,Portal
"Practitioners, priorities, plans, and policies: assessing climate change adaptation actions in a Canadian community",practitioners priorities plans and policies assessing climate change adaptation actions in a canadian community,Journal Article,"Picketts, Ian M.",Sustainability Science,2014,Portal
Standardizing Spawner Escapement Data: A Case Study of the Nechako River Chinook Salmon,standardizing spawner escapement data a case study of the nechako river chinook salmon,Journal Article,"Hill, Ryan A.; Irvine, James R.",North American Journal of Fisheries Management,2001,Portal
Homeless and incarcerated: An epidemiological study from Canada,homeless and incarcerated an epidemiological study from canada,Journal Article,"Saddichha, Sahoo; Fliers, Joelle M; Frankish, Jim; Somers, Julian; Schuetz, Christian G; Krausz, Michael R",International Journal of Social Psychiatry,2014,Portal
Using Remotely Sensed MODIS Snow Product for the Management of Reservoirs in a Mountainous Canadian Watershed,using remotely sensed modis snow product for the management of reservoirs in a mountainous canadian watershed,Journal Article,"Marcil, Gino-Karl; Trudel, Mélanie; Leconte, Robert",Water Resources Management,2016,Portal
Annihilation of both place and sense of place: the experience of the Cheslatta T’En Canadian First Nation within the context of large-scale environmental projects,annihilation of both place and sense of place the experience of the cheslatta ten canadian first nation within the context of largescale environmental projects,Journal Article,"Windsor, J E; Mcvey, J A",Geographical Journal,2005,Portal
"A tale of two cities, with bears: understanding attitudes towards urban bears in British Columbia, Canada",a tale of two cities with bears understanding attitudes towards urban bears in british columbia canada,Journal Article,"Booth, Annie L.; Ryan, Daniel A. J.",Urban Ecosystems,2019,Portal
Promoting Aboriginal Territoriality Through Interethnic Alliances: The Case of the Cheslatta T'en in Northern British Columbia,promoting aboriginal territoriality through interethnic alliances the case of the cheslatta ten in northern british columbia,Journal Article,"Larsen, Soren C.",Human Organization,2003,Portal
The Cedar Project: mortality among young Indigenous people who use drugs in British Columbia,the cedar project mortality among young indigenous people who use drugs in british columbia,Journal Article,"Jongbloed, Kate; Pearce, Margo E.; Pooyak, Sherri; Zamar, David; Thomas, Vicky; Demerais, Lou; Christian, Wayne M.; Henderson, Earl; Sharma, Richa; Blair, Alden H.; Yoshida, Eric M.; Schechter, Martin T.; Spittal, Patricia M.",CMAJ : Canadian Medical Association Journal,2017,Portal
River conversations: A confluence of lessons and emergence from the Taieri River and the Nechako River,river conversations a confluence of lessons and emergence from the taieri river and the nechako river,Journal Article,"Parkes, Margot W.",River Research and Applications,2022,Portal
"Climatic influences on forest fire and mountain pine beetle outbreaks and resulting runoff effects in large watersheds in British Columbia, Canada",climatic influences on forest fire and mountain pine beetle outbreaks and resulting runoff effects in large watersheds in british columbia canada,Journal Article,"Vore, Margot E.; Déry, Stephen J.; Hou, Yiping; Wei, Xiaohua",Hydrological Processes,2020,Portal
Watershed Management and Public Health: An Exploration of the Intersection of Two Fields as Reported in the Literature from 2000 to 2010,watershed management and public health an exploration of the intersection of two fields as reported in the literature from 2000 to 2010,Journal Article,"Bunch, Martin J.; Parkes, Margot; Zubrycki, Karla; Venema, Henry; Hallstrom, Lars; Neudorffer, Cynthia; Berbés-Blázquez, Marta; Morrison, Karen",Environmental Management,2014,Portal
Incorporating climate change adaptation into local plans,incorporating climate change adaptation into local plans,Journal Article,"Picketts, Ian M.; Déry, Stephen J.; Curry, John A.",Journal of Environmental Planning and Management,2014,Portal
The strongly damped baroclinic response to wind in a multibasin reservoir,the strongly damped baroclinic response to wind in a multibasin reservoir,Journal Article,"Imam, Yehya E.; Laval, Bernard; Pieters, Roger; Lawrence, Gregory",Limnology and Oceanography,2013,Portal
Predictability of the Consequences of the Kemano Hydroelectric Proposal for Natural Salmon Populations,predictability of the consequences of the kemano hydroelectric proposal for natural salmon populations,Journal Article,"Mundie, J. H.; Bell-Irving, R.",Canadian Water Resources Journal / Revue canadienne des ressources hydriques,1986,Portal
Temperature and Flow Effects on Migration Timing of Chinook Salmon Smolts,temperature and flow effects on migration timing of chinook salmon smolts,Journal Article,"Sykes, Gregory E.; Johnson, Chris J.; Shrimpton, J. Mark",Transactions of the American Fisheries Society,2009,Portal
Microsatellite DNA analysis of overwintering bull trout (Salvelinus confluentus) and its implications for harvest regulation and habitat management,microsatellite dna analysis of overwintering bull trout salvelinus confluentus and its implications for harvest regulation and habitat management,Journal Article,"Taylor, Eric B.; Chudnow, Rachel; Pillipow, Ray; Spendlow, Ian; van Poorten, Brett",Fisheries Management and Ecology,2021,Portal
"Persistence and Meaning in Fur-Bearing Mammal Usage on the Nechako Plateau, British Columbia",persistence and meaning in furbearing mammal usage on the nechako plateau british columbia,Journal Article,"Prince, Paul",International Journal of Historical Archaeology,2019,Portal
Rights and health versus rights to health: Bringing Indigenous Peoples’ legal rights into the spaces of health care services,rights and health versus rights to health bringing indigenous peoples legal rights into the spaces of health care services,Journal Article,"Nelson, Sarah E.; Wilson, Kathi",Political Geography,2021,Portal
Evaluation of Prescription Adaptation Following Changes to A Provincial Drug Insurance Formulary,evaluation of prescription adaptation following changes to a provincial drug insurance formulary,Journal Article,"Pammett, Robert T.",Pharmacy: Journal of Pharmacy Education and Practice,2019,Portal
A narrative analysis of the birth stories of early-age mothers,a narrative analysis of the birth stories of earlyage mothers,Journal Article,"Carson, Anna; Chabot, Cathy; Greyson, Devon; Shannon, Kate; Duff, Putu; Shoveller, Jean",Sociology of Health & Illness,2017,Portal
"Channel-amphitheatre landforms resulting from liquefaction flowslides during rapid drawdown of glacial Lake Fraser, British Columbia, Canada",channelamphitheatre landforms resulting from liquefaction flowslides during rapid drawdown of glacial lake fraser british columbia canada,Journal Article,"Miller, BGN; Iverson, RM; Clague, JJ; Geertsema, M; Roberts, NJ",GEOMORPHOLOGY,2021,Portal
"The Cedar Project: risk factors for transition to injection drug use among young, urban Aboriginal people",the cedar project risk factors for transition to injection drug use among young urban aboriginal people,Journal Article,"Miller, Cari L.; Pearce, Margo E.; Moniruzzaman, Akm; Thomas, Vicky; Christian, Chief Wayne; Schechter, Martin T.; Spittal, Patricia M.",CMAJ : Canadian Medical Association Journal,2011,Portal
Signatures of Post-Glacial Genetic Isolation and Human-Driven Migration in the Dothistroma Needle Blight Pathogen in Western Canada,signatures of postglacial genetic isolation and humandriven migration in the dothistroma needle blight pathogen in western canada,Journal Article,"Capron, Arnaud; Feau, Nicolas; Heinzelmann, Renate; Barnes, Irene; Benowicz, Andy; Bradshaw, Rosie E.; Dale, Angela; Lewis, Kathy J.; Owen, Timothy J.; Reich, Richard; Ramsfield, Tod D.; Woods, Alex J.; Hamelin, Richard C.",Phytopathology®,2021,Portal
Intimate colonialisms: the material and experienced places of British Columbia's residential schools,intimate colonialisms the material and experienced places of british columbias residential schools,Journal Article,"De Leeuw, Sarah",Canadian Geographer / Le Géographe canadien,2007,Portal
"Land claim and treaty negotiations in British Columbia, Canada: Implications for First Nations land and self-governance",land claim and treaty negotiations in british columbia canada implications for first nations land and selfgovernance,Journal Article,"Curry, John; Donker, Han; Krehbiel, Richard",The Canadian Geographer / Le Géographe canadien,2014,Portal
“Show-Stopper” — Effectively Managing Project Social Risks: Improved Approaches to Aboriginal Engagement and Consultation,showstopper effectively managing project social risks improved approaches to aboriginal engagement and consultation,Journal Article,"Mathewson, Andrew",,2012,Portal
Polyaromatic Hydrocarbons of Smoked Cured Muscle Foods Prepared by Canadian Tl'azt'en and Llheidli T'enneh First Nation Communities,polyaromatic hydrocarbons of smoked cured muscle foods prepared by canadian tlazten and llheidli tenneh first nation communities,Journal Article,"Kitts, David D.; Chen, Xiu-Min; Broda, Paul","Journal of Toxicology and Environmental Health, Part A",2012,Portal
The Effects of Repeated Thermal Therapy on Quality of Life in Patients with Type II Diabetes Mellitus,the effects of repeated thermal therapy on quality of life in patients with type ii diabetes mellitus,Journal Article,"Beever, Richard",The Journal of Alternative and Complementary Medicine,2010,Portal
Assessment of a hydrologic model's reliability in simulating flow regime alterations in a changing climate,assessment of a hydrologic models reliability in simulating flow regime alterations in a changing climate,Journal Article,"Shrestha, Rajesh R.; Schnorbus, Markus A.; Peters, Daniel L.",Hydrological Processes,2016,Portal
"Gateway to understanding: Indigenous ecological activism and education in urban, rural, and remote contexts",gateway to understanding indigenous ecological activism and education in urban rural and remote contexts,Journal Article,"Lowan-Trudeau, Gregory",Cultural Studies of Science Education,2016,Portal
"Reconnaissance geochemistry of the nechako plateau, British Columbia, using lake sediments",reconnaissance geochemistry of the nechako plateau british columbia using lake sediments,Journal Article,"Hoffman, S. J.; Fletcher, W. K.",Journal of Geochemical Exploration,1976,Portal
The Copper Status of Soils and Forage in the Vanderhoof-Fort Fraser Area of British Columbia,the copper status of soils and forage in the vanderhooffort fraser area of british columbia,Journal Article,"Lowe, L. E.; Milne, I. H.",Canadian Journal of Soil Science,1979,Portal
"Paleomagnetic Results from the Jurassic Topley Intrusions near Endako, British Columbia",paleomagnetic results from the jurassic topley intrusions near endako british columbia,Journal Article,"Symons, D. T. A.",Canadian Journal of Earth Sciences,1973,Portal
"Revised stratigraphy of the Takla Group, north-central British Columbia",revised stratigraphy of the takla group northcentral british columbia,Journal Article,"Monger, J. W. H.; Church, B. N.",Canadian Journal of Earth Sciences,1977,Portal
"Duni zuz utilnith, 'tanning moose-hide': weaving Dakelh (Indigenous) intangible cultural heritage transmission with academia hide",duni zuz utilnith tanning moosehide weaving dakelh indigenous intangible cultural heritage transmission with academia hide,Journal Article,"Pawlowska-Mainville, A; Pierreroy, Y",INTERNATIONAL JOURNAL OF INTANGIBLE HERITAGE,2020,Portal
"Increasing prevalence of cocaine as the primary detoxification diagnosis an-long admissions presenting with current intravenous drug use - A review of detoxification records from northern British Columbia, 1999-2005",increasing prevalence of cocaine as the primary detoxification diagnosis anlong admissions presenting with current intravenous drug use a review of detoxification records from northern british columbia 19992005,Journal Article,"Callaghan, RC; Strike, C; Kerr, T; Fischer, B; Buxton, J; Stevens, E; Taylor, L; Victor, JC",CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE,0000,Portal
"""Water Release Facility at Kenney Dam: Alternative Concept Layout, Construction Planning and Cost"" by SNC Lavalin",water release facility at kenney dam alternative concept layout construction planning and cost by snc lavalin,Journal Article,,,2009,Portal
"Nechako Enhancement Society ""Kenney Dam Cold Water Release Facility: Addendum to April 2008 Interim Report""",nechako enhancement society kenney dam cold water release facility addendum to april 2008 interim report,Journal Article,,,2008,Portal
"Nechako Watershed Council - Executive Summary: Work Completed Towards a Water Release Facility at Kenney Dam, 2001-2009",nechako watershed council executive summary work completed towards a water release facility at kenney dam 20012009,Journal Article,,,2009,Portal
The paradox of development: Lheidli T'enneh perspectives on resource development.,the paradox of development lheidli tenneh perspectives on resource development,Journal Article,"Hughes, Geoffrey E. D.",,2011,Portal
"Products, features and target markets: An inquiry into Aboriginal tourism product preference of visitors to northern British Columbia.",products features and target markets an inquiry into aboriginal tourism product preference of visitors to northern british columbia,Journal Article,"Kutzner, Diana",,2009,Portal
You can't fix what you don't see: a case study of unprofessional behaviour in the workplace,you cant fix what you dont see a case study of unprofessional behaviour in the workplace,Journal Article,"LeBlanc, Suzanne",,2008,Portal
A cross plant comparison of an ERP/MRP system,a cross plant comparison of an erpmrp system,Journal Article,"Dodsworth, Tera-Lee",,2010,Portal
Knowledge to action: First nations engagement with research for community benefit.,knowledge to action first nations engagement with research for community benefit,Journal Article,"Garraway, Leana",,2014,Portal
"""Anticipated Benefits from the Proposed Cold Water Release Facility at Kenney Dam: Draft #4"" prepared by the Fraser Basin Council",anticipated benefits from the proposed cold water release facility at kenney dam draft 4 prepared by the fraser basin council,Journal Article,,,2006,Portal
"Nechako Enhancement Society, ""Chapter 4: Total Gas Pressure Effects on Fish"" from ""Kenney Dam Cold Water Release Facility Interim Evaluation Report""",nechako enhancement society chapter 4 total gas pressure effects on fish from kenney dam cold water release facility interim evaluation report,Journal Article,,,2007,Portal
"Water Release Facility at Kenney Dam - Correspondence, Presentations and Reports",water release facility at kenney dam correspondence presentations and reports,Journal Article,,,2000,Portal
"""Summary of Anticipated Benefits of a Cold Water Release Facility at Kenney Dam Based on Studies to Date"" prepared by the Nechako Enhancement Society",summary of anticipated benefits of a cold water release facility at kenney dam based on studies to date prepared by the nechako enhancement society,Journal Article,,,2007,Portal
"""Backgrounder: Potential Downstream Hydrographs from Alternate Water Release Facilities at Kenney Dam"" prepared by Nechako Enhancement Society",backgrounder potential downstream hydrographs from alternate water release facilities at kenney dam prepared by nechako enhancement society,Journal Article,,,2008,Portal
"Nechako Enhancement Society - ""Kenney Dam Cold Water Release Facility Interim Report, 2002-2007""",nechako enhancement society kenney dam cold water release facility interim report 20022007,Journal Article,,,2008,Portal
"Nechako Watershed Council - Evaluation of Benefits of a Water Release Facility at Kenney Dam, Correspondence and Proposals, 2001-2002",nechako watershed council evaluation of benefits of a water release facility at kenney dam correspondence and proposals 20012002,Journal Article,,,2001,Portal
Briefing Document for the Nechako Watershed Council re: Assessment of Options for a Water Release Facility at Kenney Dam prepared by Triton Environmental Consultants,briefing document for the nechako watershed council re assessment of options for a water release facility at kenney dam prepared by triton environmental consultants,Journal Article,,,2008,Portal
Climate Change & Resource Development Scenarios for the Nechako Watershed: Workshop Report May 2015,climate change resource development scenarios for the nechako watershed workshop report may 2015,Journal Article,"Matthews, Carling; Picketts, Ian; Déry, Stephen; Parkes, Margot; Sharma, Aseem",,2015,Portal
"Nechako Enhancement Society ""Towards a Decision on a Release Water Temperature for a Cold Water Release Facility at Kenney Dam: Report"" prepared by Triton Environmental Consultants, Ltd., and Aspen Applied Sciences, Ltd",nechako enhancement society towards a decision on a release water temperature for a cold water release facility at kenney dam report prepared by triton environmental consultants ltd and aspen applied sciences ltd,Journal Article,,,2004,Portal
"""Water Release Facility at Kenney Dam: Updated Conceptual Layout and Cost Estimate"" prepared by Klohn Crippen",water release facility at kenney dam updated conceptual layout and cost estimate prepared by klohn crippen,Journal Article,,,2001,Portal
"""Power Generation at Kenney Dam"" presented by Columbia Power Corporation",power generation at kenney dam presented by columbia power corporation,Journal Article,,,1999,Portal
"Geochemistry and Nd isotopes of the Francois Lake plutonic suite, Endako batholith: host and progenitor to the Endako molybdenum camp, central British Columbia",geochemistry and nd isotopes of the francois lake plutonic suite endako batholith host and progenitor to the endako molybdenum camp central british columbia,Journal Article,"Whalen, JB; Anderson, RG; Struik, LC; Villeneuve, ME",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
"Interpretation of structures in the southeastern Nechako Basin, British Columbia, from seismic reflection, well log, and potential field data",interpretation of structures in the southeastern nechako basin british columbia from seismic reflection well log and potential field data,Journal Article,"Hayward, N; Calvert, AJ",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
"Eocene and Neogene volcanic rocks in the southeastern Nechako Basin, British Columbia: interpretation of the Canadian Hunter seismic reflection surveys using first-arrival tomography",eocene and neogene volcanic rocks in the southeastern nechako basin british columbia interpretation of the canadian hunter seismic reflection surveys using firstarrival tomography,Journal Article,"Hayward, N; Calvert, AJ",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
"New U-Pb age constraints on latest Cretaceous magmatism and associated mineralization in the Fawnie Range, Nechako Plateau, central British Columbia",new upb age constraints on latest cretaceous magmatism and associated mineralization in the fawnie range nechako plateau central british columbia,Journal Article,"Friedman, RM; Diakow, LJ; Lane, RA; Mortensen, JK",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
"Chronostratigraphy of Eocene volcanism, central British Columbia",chronostratigraphy of eocene volcanism central british columbia,Journal Article,"Bordet, E; Mihalynuk, MG; Hart, CJR; Mortensen, JK; Friedman, RM; Gabites, J",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
"Deep seismic reflection constraints on Paleogene crustal extension in the south-central Intermontane belt, British Columbia",deep seismic reflection constraints on paleogene crustal extension in the southcentral intermontane belt british columbia,Journal Article,"Calvert, AJ; Talinga, D",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
Radiation therapy in the management of breast cancer and the impact of BC Cancer Centre for the North on patient choice of treatment,radiation therapy in the management of breast cancer and the impact of bc cancer centre for the north on patient choice of treatment,Journal Article,"Buxton, Jane; Gilbert, Mark; Kuo, Margot; Ogborne-Hill, Emily; Young, Sara; Frinton, Vera; Cheifetz, Rona; McKevitt, Elaine; Sutter, F Michelle; Ye, Allison",BC Medical Journal,2018,Portal
B.C. First Nations sue to have Alcan take down the Kenney Dam,bc first nations sue to have alcan take down the kenney dam,Journal Article,,Canadian Broadcasting Corporation (CBC),2019,Portal
Co-Managing Research: Building and Sustaining a First Nation - University Partnership,comanaging research building and sustaining a first nation university partnership,Journal Article,"Fondahl, G., Wright, P., Yim, D., Sherry, E., Leon, B., Bulmer, W., Grainger, S., Young, J",Community Development Institute,2009,Portal
Ecohealth and Watersheds: Ecosystems Approaches to Re-intrgrate Water Resources Management and Health and well-being,ecohealth and watersheds ecosystems approaches to reintrgrate water resources management and health and wellbeing,Journal Article,"Parkes, Margot W.; Morrison, Karen E.; Bunch, Martin J.; Venema, Henry D.","International Institute for Sustainable Development, Winnipeg",2008,Portal
Water Temperature Ensemble Forecasts: Implementation Using the CEQUEAU Model on Two Contrasted River Systems,water temperature ensemble forecasts implementation using the cequeau model on two contrasted river systems,Journal Article,"Ouellet-Proulx, Sébastien; St-Hilaire, André; Boucher, Marie-Amélie",Water,2017,Portal
Monitoring snow wetness in an Alpine Basin using combined C-band SAR and MODIS data,monitoring snow wetness in an alpine basin using combined cband sar and modis data,Journal Article,"Rondeau-Genesse, Gabriel; Trudel, Mélanie; Leconte, Robert",Remote Sensing of Environment,2016,Portal
"""Conceptual Alternatives for a Release Facility at Kenney Dam: An Interim Report of the Kenney Dam Release Facility Working Group""",conceptual alternatives for a release facility at kenney dam an interim report of the kenney dam release facility working group,Journal Article,"Alderdice, Don",,1996,Portal
"A Longitudinal Study of Emergency Room Visits and Air Pollution for Prince George, British Columbia",a longitudinal study of emergency room visits and air pollution for prince george british columbia,Journal Article,"Jørgensen, Bent; Lundbye-Christensen, Søren; Song, Xue-Kun; Sun, Li",Statistics in Medicine,1996,Portal
"""Kenney Dam Release Facility: Evaluation of the Effect of Operation of a Proposed Kenney Dam Water Release Facility on Cooling Water Releases and Nechako River Temperatures""",kenney dam release facility evaluation of the effect of operation of a proposed kenney dam water release facility on cooling water releases and nechako river temperatures,Journal Article,"Hartman, Gordon",,2000,Portal
Antimicrobial Activity of Salmon Extracts Derived from Traditional First Nations Smoke Processing,antimicrobial activity of salmon extracts derived from traditional first nations smoke processing,Journal Article,"Allen, Kevin J.; Chen, Xiu-Min; Mesak, Lili R.; Kitts, David D.",Journal of Food Protection,2012,Portal
The Cedar Project: high incidence of HCV infections in a longitudinal study of young Aboriginal people who use drugs in two Canadian cities,the cedar project high incidence of hcv infections in a longitudinal study of young aboriginal people who use drugs in two canadian cities,Journal Article,"Spittal, Patricia M.; Pearce, Margo E.; Chavoshi, Negar; Christian, Wayne M.; Moniruzzaman, Akm; Teegee, Mary; Schechter, Martin T.",BMC Public Health,2012,Portal
"N and P limitation of benthos abundance in the Nechako River, British Columbia",n and p limitation of benthos abundance in the nechako river british columbia,Journal Article,"Perrin, Chris; Richardson, JS",Canadian Journal of Fisheries and Aquatic Sciences,1997,Portal
Nechako Reservoir mathematical modelling studies,nechako reservoir mathematical modelling studies,Journal Article,"James, C. B.; Mitchell, A. C.; Buchak, E. M.",10th Canadian hydrotechnical conference [and] engineering mechanics symposium. Proceedings. Volume 1,1991,Portal
QUATERNARY GEOLOGY AND DRIFT PROSPECTING STUDIES IN THE NORTH CENTRAL NECHAKO PLATEAU (93 F AND K),quaternary geology and drift prospecting studies in the north central nechako plateau 93 f and k,Journal Article,"Levson, Victor M.; Mate, David; Stuart, Andrew J.",British Columbia Geological Survey Geological Fieldwork 1998,1998,Portal
Geoscience BC: Launch of the QUEST West Mountain Pine Beetle Geoscience Project,geoscience bc launch of the quest west mountain pine beetle geoscience project,Journal Article,,Marketwire,2008,Portal
"Geoscience BC: New Seismic Reflection Data for the Nechako Basin, British Columbia",geoscience bc new seismic reflection data for the nechako basin british columbia,Journal Article,,Marketwire,2009,Portal
Geoscience BC Announces Launch of $2.5 Million Nechako Basin Seismic Survey,geoscience bc announces launch of 25 million nechako basin seismic survey,Journal Article,,Marketwire,2008,Portal
Building in Canada's Coast Mountains: The Challenging Kemano Hydro Project,building in canadas coast mountains the challenging kemano hydro project,Journal Article,"Ghate, A. (Power Engineering",Hydro Review; (United States),1991,Portal
"""Water Release Facility at Kenney Dam Updated Conceptual Layout and Cost Estimate""",water release facility at kenney dam updated conceptual layout and cost estimate,Journal Article,"Hartman, Gordon",,2001,Portal
"""Honoring community: Development of a First Nations stream in social work""",honoring community development of a first nations stream in social work,Journal Article,"Greenwood, Margo; Palmantier, Monty",,2003,Portal
"Electromagnetic mapping in drift covered regions of the Nechako plateau, British Columbia",electromagnetic mapping in drift covered regions of the nechako plateau british columbia,Journal Article,"Best, M. E.; Levson, V. M.; Diakow, L. J.","Interior Plateau Geoscience Project: Summary of Geological, Geochemical Studies, Newell, JM and Diakow, LJ, Editors, BC Ministry of Employment and Investment, Paper",1997,Portal
Flooding in the Nechako River Basin of Canada: A random forest modeling approach to flood analysis in a regulated reservoir system,flooding in the nechako river basin of canada a random forest modeling approach to flood analysis in a regulated reservoir system,Journal Article,"Albers, Sam J.; Déry, Stephen J.; Petticrew, Ellen L.",Canadian Water Resources Journal / Revue canadienne des ressources hydriques,2016,Portal
Oil and gas resource potential of the Nechako–Chilcotin area of British Columbia,oil and gas resource potential of the nechakochilcotin area of british columbia,Journal Article,"Hannigan, Peter; Lee, P. J.; Osadetz, K. G.; Dietrich, J. R.; Olsen-Heise, K.","BC Ministry of Energy, Mines and Petroleum Resources, GeoFile",2001,Portal
"You Don't Suppose the Dominion Government Wants to Cheat the Indians?"": The Grand Trunk Pacific Railway and the Fort George Reserve, 1908-12",you dont suppose the dominion government wants to cheat the indians the grand trunk pacific railway and the fort george reserve 190812,Journal Article,"Vogt, David; Gamble, David Alexander",BC Studies,2010,Portal
Review of water management in the Nechako River Basin : final report,review of water management in the nechako river basin final report,Journal Article,"Scarge, B. L.",,1997,Portal
Remembering forward : navigating the everyday of forced displacement with the Cheslatta T'en,remembering forward navigating the everyday of forced displacement with the cheslatta ten,Thesis,"Wikler, Maia",,2019,Portal
"Sub-hourly water temperature data collected across the Nechako Watershed, 2019-2021",subhourly water temperature data collected across the nechako watershed 20192021,Journal Article,"Gilbert, Derek E.; Morris, Jeremy E.; Kaveney, Anna R.; Déry, Stephen J.",Data in Brief,2022,Portal
The John Prince Research Forest: Evolution of a co-management partnership in northern British Columbia,the john prince research forest evolution of a comanagement partnership in northern british columbia,Journal Article,"Grainger, S; Sherry, E; Fondahl, G",FORESTRY CHRONICLE,0000,Portal
The Cedar Project: Negative health outcomes associated with involvement in the child welfare system among young Indigenous people who use injection and non-injection drugs in two Canadian cities,the cedar project negative health outcomes associated with involvement in the child welfare system among young indigenous people who use injection and noninjection drugs in two canadian cities,Journal Article,"Clarkson, AF; Christian, WM; Pearce, ME; Jongbloed, KA; Caron, NR; Teegee, MP; Moniruzzaman, A; Schechter, MT; Spittal, PM",CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE,0000,Portal
"Near-surface and crustal-scale images of the Nechako basin, British Columbia, Canada, from magnetotelluric investigations",nearsurface and crustalscale images of the nechako basin british columbia canada from magnetotelluric investigations,Journal Article,"Spratt, J; Craven, J",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
Exploring the role of social capital in supporting a regional medical education campus,exploring the role of social capital in supporting a regional medical education campus,Journal Article,"Toomey, Patricia; Hanlon, Neil; Bates, Joanna; Poole, Gary; Lovato, Chris Y",Rural and remote health,2011,Portal
New geophysical models for subsurface velocity structure in the Nechako-Chilcotin plateau from 2.5-D waveform tomography,new geophysical models for subsurface velocity structure in the nechakochilcotin plateau from 25d waveform tomography,Journal Article,"Smithyman, BR; Clowes, RM; Bordet, E",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
The Cedar Project: correlates of attempted suicide among young Aboriginal people who use injection and non-injection drugs in two Canadian cities,the cedar project correlates of attempted suicide among young aboriginal people who use injection and noninjection drugs in two canadian cities,Journal Article,"Moniruzzaman, Akm; Pearce, Margo E.; Patel, Sheetal H.; Chavoshi, Negar; Teegee, Mary; Adam, Warner; Christian, Wayne M.; Henderson, Earl; Craib, Kevin J.P.; Schechter, Martin T.; Spittal, Patricia M.",International Journal of Circumpolar Health,2009,Portal
Habitat use by woodland caribou near Takla Lake in central British Columbia,habitat use by woodland caribou near takla lake in central british columbia,Journal Article,"Poole, Kim G; Heard, Douglas C; Mowat, Garth",Canadian Journal of Zoology,2000,Portal
"Future climate change impacts on snow and water resources of the Fraser River Basin, British Columbia",future climate change impacts on snow and water resources of the fraser river basin british columbia,Journal Article,"Islam, Siraj Ul; Déry, Stephen J.; Werner, Arelia T.",Journal of Hydrometeorology,2016,Portal
Distribution of Paleogene and Cretaceous rocks around the Nazko River belt of central British Columbia from 3-D long-offset first-arrival seismic tomography,distribution of paleogene and cretaceous rocks around the nazko river belt of central british columbia from 3d longoffset firstarrival seismic tomography,Journal Article,"Talinga, D; Calvert, AJ",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
"Crustal velocity structure of the southern Nechako basin, British Columbia, from wide-angle seismic traveltime inversion",crustal velocity structure of the southern nechako basin british columbia from wideangle seismic traveltime inversion,Journal Article,"Stephenson, AL; Spence, GD; Wang, K; Hole, JA; Miller, KC; Clowes, RM; Harder, SH; Kaip, GM",CANADIAN JOURNAL OF EARTH SCIENCES,0000,Portal
Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics,swim speeds and energy use of uprivermigrating sockeye salmon oncorhynchus nerka role of local environment and fish characteristics,Journal Article,"Hinch, Scott G; Rand, Peter S",Canadian Journal of Fisheries and Aquatic Sciences,1998,Portal
"Determining contemporary and historical sediment sources in a large drainage basin impacted by cumulative effects: the regulated Nechako River, British Columbia, Canada",determining contemporary and historical sediment sources in a large drainage basin impacted by cumulative effects the regulated nechako river british columbia canada,Journal Article,"Gateuille, David; Owens, Philip N.; Petticrew, Ellen L.; Booth, Barry P.; French, Todd D.; Déry, Stephen J.",Journal of Soils and Sediments,2019,Portal
"'You people talk from paper': Indigenous law, western legalism, and the cultural variability of law's materials",you people talk from paper indigenous law western legalism and the cultural variability of laws materials,Journal Article,"Stauffer, J",LAW TEXT CULTURE,2019,Portal
